id,name,sequence,channel_id/id,is_category,is_published,is_preview,slide_category,video_url
slide_section_crm_0,CRM,0,odoo_functional_tutorial.slide_channel_odoo_functional,1,1,0,document,
slide_section_crm_1,CRM Overview,1,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/1WBAx2uNQSE
slide_section_crm_2,Assign Salespersons into Multiple Sales Teams in Odoo 16 CRM,2,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/Zmhkp5Dwh6w
slide_section_crm_3,How to Create a Lead in Odoo 16 CRM,3,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=iimghZhVUdM
slide_section_crm_4,How to Convert Lead to Opportunity in Odoo 16 CRM,4,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=z0hQuakiT24
slide_section_crm_5,How to Create a Stage or Pipeline in Odoo 16 CRM,5,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=8NlGNL_BkJU
slide_section_crm_6,Sales Teams in Odoo 16 CRM,6,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=omtsw9XKuoI
slide_section_crm_7,How to Configure the Lost Reason in Odoo 16 CRM,7,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=D84mgSqmCWs
slide_section_crm_8,Commission Plan in Odoo 16 CRM,8,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/9JsylebGnms
slide_section_crm_9,Organize Activities in Odoo 16 CRM,9,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/0Ky0GDbNZ10
slide_section_crm_10,Lead Generation & Understanding Lead Rules in Odoo 16 CRM,10,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/4HiBzG_IYbU
slide_section_crm_11,Customize Your Pipeline Stages in Odoo CRM,11,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/p9ZhDD5ggxc
slide_section_crm_12,Lead Mining in Odoo 16 CRM,12,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/ul7cHSvHuRQ
slide_section_crm_13,Reporting in Odoo 16 CRM,13,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=0LOPkkrRe8k
slide_section_crm_14,Creating Quotation For An Opportunity In CRM Of Odoo 16,14,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=uauOIMV6QCE
slide_section_crm_15,Lead Enrichment in Odoo 16 CRM,15,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/eFlQDBg3k5U
slide_section_crm_16,Odoo 16 CRM Pipeline Analysis Report,16,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/Wc0ZuK4WSA4
slide_section_crm_17,Periodically Assign Leads Based on Rules in Odoo 16 CRM,17,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/Tg2IEBqQRRM
slide_section_crm_18,Odoo 16 Spreadsheet in CRM - How It's a Beneficial Tool,18,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/qv8cTMEHelU
slide_section_sales_0,Sales,100,odoo_functional_tutorial.slide_channel_odoo_functional,1,1,0,document,
slide_section_sales_1,Sales Overview,101,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=XBSxXph6Ygs
slide_section_sales_2,How to Create Customer in Odoo 16,102,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=eMwTboKgkSU
slide_section_sales_3,How to Create Product in Odoo 16,103,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/2X1PdqbVKCc
slide_section_sales_4,How to Create Sales Pricelists in Odoo 16,104,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/o7Gv-B19HpY
slide_section_sales_5,How to Sell Products as Packages in Odoo 16,105,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=rLOLZ3x5zno
slide_section_sales_6,How to Setup Payment Terms in Odoo 16,106,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=zEqssnjGu9k
slide_section_sales_7,How to Schedule Activities in Odoo 16,107,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/24hr6sYVMBY
slide_section_sales_8,How to Set Up Taxes in Odoo 16,108,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=bMsm6-aIh6Y
slide_section_sales_9,How to Create a sales quotation from Odoo 16 Sales,109,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://youtu.be/TaZlGrw4J8A
slide_section_sales_10,How to Set Warnings in Sale Orders for Products or Customers in Odoo 16,110,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=6LF2PG_t9dM
slide_section_sales_11,Order to Upsell in Odoo 16,111,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=0ET6F4qt-x4
slide_section_sales_12,How To Create Pro forma Invoice in Odoo 16 Sales,112,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=deibIx1EZaI
slide_section_sales_13,How to Manage Promotion & Coupon Programs With Odoo 16,113,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=d_MpQIPDLwI
slide_section_sales_14,Shipping Methods and Connectors in Odoo 16,114,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=k6yh5ULy26U
slide_section_sales_15,How to Lock Confirmed Orders in Odoo 16 Sales Module,115,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=DJ-V1ZLYcu0
slide_section_sales_16,Unit of Measure (UoM) in Odoo 16,116,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=0J9SvjS7iOg
slide_section_sales_17,How to Add Terms and Conditions in Odoo 16,117,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=63ezHvPFVSg
slide_section_sales_18,Product Variants and Attributes in Odoo 16,118,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=gG6xVY_bdgg&t=51s
slide_section_sales_19,Invoicing Policies in Odoo 16,119,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=J-7gGUdO_NM
slide_section_sales_20,How to Request a Down Payment in Odoo 16,120,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=QEpb3obW6dg
slide_section_sales_21,How to Apply a Discount on Sale Order in Odoo 16,121,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=u000S2Nfdt4
slide_section_sales_22,Invoice and Deliver to Different Addresses in Odoo16,122,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=RyLpkzt7kRk
slide_section_sales_23,Use of Tags,123,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=dhcIyUkcjLQ
slide_section_sales_24,How to setup Sales Credit Limit in Odoo 16,124,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=P1IAxQT6-84
slide_section_sales_25,How to Set up Quotation Layout in Odoo 16 Sales,125,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=qO5_FkQCbd4
slide_section_sales_26,How to Set Up the Incoterm in Odoo 16,126,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=IMIoqnGnJyA
slide_section_purchase_0,Purchase,200,odoo_functional_tutorial.slide_channel_odoo_functional,1,1,0,document,
slide_section_purchase_1,Odoo 16 Purchase Module,201,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=kqlzCg3coKc
slide_section_purchase_2,How to create vendor in Odoo 16,202,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=dMoQdD-7kMY
slide_section_purchase_3,Managing Purchase Quotations & Orders in Odoo 16,203,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=DbEhU7LbvI0
slide_section_purchase_4,How to set warnings while purchasing in Odoo 16,204,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=enFBXmPDIrQ
slide_section_purchase_5,Odoo 16 Debit Note,205,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=mAcBgkxE9zA
slide_section_purchase_6,Vendor Lead Time & Vendor Pricelists in Odoo 16 Purchase,206,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=1A61YM32pLQ
slide_section_purchase_7,How to Set Receipt Confirmation Reminder From Vendor With Odoo 16,207,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=iQx0FBqsHds
slide_section_purchase_8,Odoo 16 Call for Tender With Alternatives Tab in Purchase Order,208,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=ocej9ioySC4
slide_section_purchase_9,Blanket Order in Odoo 16,209,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=nkvfvZ-KQvo
slide_section_purchase_10,3 Way Matching in Odoo 16 Purchase,210,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=n_zp6s6CWDk
slide_section_purchase_11,Purchase Analysis in Odoo 16,211,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=jXJFcKL2Kj8
slide_section_purchase_12,How to Manage Dropshipping Using Odoo 16,212,odoo_functional_tutorial.slide_channel_odoo_functional,0,1,1,video,https://www.youtube.com/watch?v=xsL_bksihTM
